Source,Target
It's time to break_the_ice and introduce yourself.,Đã đến lúc phá vỡ khoảng cách và giới thiệu bản thân.
"When Mina was in her teens she looked ordinary, but in her early 20s she turned_into_a_real_knockout! ","Khi Mina còn ở tuổi thiếu niên, cô ta nhìn rất bình thường nhưng ở độ tuổi 20 cô ấy biến thành một người phụ nữ rất xinh đẹp"
He had_egg_on_his_face after claiming he could climb the tree but then having to give up.,Anh ấy đã rất xấu hổ sau khi tuyên bố mình có thể trèo cây nhưng sau đó lại phải bỏ cuộc.
The name Susan Thompson rings_a_bell.,Cái tên Susan Thompson nghe rất quen.
As_pretty_as_paint.,Đẹp như tranh
 it's time to hit_the_books ,Đã đến lúc học rồi.
He always gives_me_a_hand with repairing broken things,Anh ấy luôn giúp đỡ tôi sửa chữa đồ bị hỏng.
It was the_last_straw that made her quit.,Đó là giọt nước tràn ly khiến cô ấy bỏ việc.
He disappeared in_a_blink_of_an_eye!,Anh ấy biến mất trong chớp mắt!
She’s a_tough_cookie in negotiations.,Cô ấy rất cứng rắn khi đàm phán.
Are you pulling_my_leg?,Bạn đang đùa tôi đấy à?
We just got here in_the_nick_of_time.,Chúng ta vừa đến đúng lúc.
One_drop_of_poison_infects_the_whole_of_wine.,Một con sâu làm rầu nồi canh.
"It is to late for you to do that, the_ship_has_sailed","Đã quá muộn để bạn làm điều đó rồi, bạn đã mất cơ hội đó."
I just have_a_lot_on_my_plate right now.,Tôi đang có rất nhiều việc phải làm.
"I'm sory to hear that you failed the exam, better_luck_next_time.","Tôi rất tiếc khi nghe rằng bạn đã trượt, thôi thì thua keo này ta bày keo khác."
"I’m afraid that if we don’t find a solution, we’ll go_belly_up within a year.","Tôi sợ rằng nếu chúng ta không tìm ra được một giải pháp, ta sẽ phá sản trong vòng một năm."
I have been looking here_and_there for the gift I boụght for my girlfriend,Tôi đã tìm khắp mọi nơi để mua món quà cho bạn gái tôi
He bent_over_backwards to help her.,	Anh ấy đã cố gắng hết sức để giúp cô ấy.
"When I found out he crashed my car, I hit_the_roof.","Sau khi tôi biết được anh ấy đã đâm xe tôi, tôi đã vô cùng tức giận"
I wouldn't want a nine-to-five job.,Tôi không muốn một công việc thường ngày.
You look full_of_the_joys_of_spring this morning.,Bạn trông rất vui vẻ và phấn khởi sáng nay.
As_pretty_as_paint.,Đẹp như tranh
"My husband may not be the world’s most glamorous guy, but he_brings_home_the_bacon.","Chồng tôi có thể không phải là một người quyến rũ nhất thế giới, nhưng anh ta là trụ cột trong gia đình."
She read_between_the_lines and knew he was upset.,Cô ấy hiểu ngầm và biết anh ấy đang buồn.
She’s a_tough_cookie in negotiations.,Cô ấy rất cứng rắn khi đàm phán.
She read_between_the_lines and knew he was upset.,Cô ấy hiểu ngầm và biết anh ấy đang buồn.
"If you wait for him to finish his part of the project, you’ll be waiting_till_the_cows come home ","Nếu bạn đợi anh ấy hoàn thành công việc của anh ấy trong dự ăn, bạn sẽ phải đợi anh ấy rất lâu đó."
She was caught_red-handed stealing the book.,Cô ấy bị bắt quả tang đang ăn cắp sách.
She read_between_the_lines and knew he was upset.,Cô ấy hiểu ngầm và biết anh ấy đang buồn.
The noise caused all the neighbors to go_nuts.,Cái tiếng ồn đó đã làm tất cả hàng xóm phát điên.
"It is to late for you to do that, the_ship_has_sailed","Đã quá muộn để bạn làm điều đó rồi, bạn đã mất cơ hội đó."
I can’t help you with your presentation right now. I have bigger_fish_to_fry.,Tôi không thể giúp bạn được. Tôi có việc quan trọng hơn phải làm.
He finally apologized—better_late_than_never.,Cuối cùng anh ấy cũng xin lỗi—muộn còn hơn không.
New Year's Eve is just_around_the_corner!,Giao thừa sắp đến rồi!
She let_the_cat_out_of_the_box and fnally told her parents aboụt her plans of getting married.,Cô ấy đã để lộ bí mật và cuối cùng nói với bố mẹ về kế hoạch kết hôn của mình.
Passing this test will be like shooting_fish_in_a_barrel,Vược qua bài kiểm tra này sẽ rất dễ dàng.
Only the_top_banana can make a decision,Chỉ có người cầm quyền có thể đưa ra quyết định.
I have been looking here_and_there for the gift I boụght for my girlfriend,Tôi đã tìm khắp mọi nơi để mua món quà cho bạn gái tôi
Buying that car cost_me_an_arm_and_a_leg.,Mua chiếc xe đó khiến tôi tốn cả gia tài.
"Losing the job was tough, but every cloud has a_silver_lining.","Mất việc thật khó khăn, nhưng trong cái rủi có cái may."
James is a_bad_egg. Don’t trust him.,James là một kẻ xấu. Đừng tin anh ấy.
My mother is back_on_her_feet after being sick for a week.,Mẹ tôi đã hồi phục trọn vẹn sau khi bị ốm trong một tuần.
I’ve locked the door. They’re as_safe_as_houses,Tôi đã khóa cửa rồi. Chúng sẽ rất an toàn.
He is the Jack_of_all_trades and master_of_none.,Nghề nào anh cũng biết nhưng chẳng tinh nghề nào.
He is a_pain_in_the_neck,Anh ta quả là một nỗi phiền toái.
He sensed that there were multiple_clouds_on_the_horizon.,Anh ấy cảm thấy rằng nó vẫn còn rất nhiều vấn đề.
At the end she won only_by_a_whisker,Cô ấy đã thắng với một khoảng cách rất ngắn.
They finally saw_eye_to_eye on the issue.,Họ cuối cùng cũng đồng thuận về vấn đề đó.
He didn't_bat_an_eye when he realised he failed the exam.,Anh ấy không bất ngờ khi anh ấy nhận ra anh đã trượt kì thi.
"I can't drive, I had_one_too_many","Tôi không lái được, tôi đã uống quá nhiều."
The plan was home and dry.,Kế hoạch đã thành công.
I’ve locked the door. They’re as_safe_as_houses,Tôi đã khóa cửa rồi. Chúng sẽ rất an toàn.
Many companies are jumping on_the_bandwagon.,Nhiều công ty đang chạy theo xu hướng.
The news was music_to_my_ears.,Bản tin đó như là nhạc cho tai tôi vậy.
We just got here in_the_nick_of_time.,Chúng ta vừa đến đúng lúc.
He disappeared in_a_blink_of_an_eye!,Anh ấy biến mất trong chớp mắt!
"I’m afraid that if we don’t find a solution, we’ll go_belly_up within a year.","Tôi sợ rằng nếu chúng ta không tìm ra được một giải pháp, ta sẽ phá sản trong vòng một năm."
Pull_yourself_together and face the challenge.,Hãy bình tĩnh và đối mặt với thử thách.
They finally saw_eye_to_eye on the issue.,Họ cuối cùng cũng đồng thuận về vấn đề đó.
I take_something_for_granted that I woụld find the perfect job.,Tôi đã cho rằng mình sẽ tìm được công việc hoàn hảo mà không cần cố gắng.
"Inside, there is no room to swing_a_cat.",Bên trong rất nhỏ.
You look full_of_the_joys_of_spring this morning.,Bạn trông rất vui vẻ và phấn khởi sáng nay.
He's really on_thin_ice.,Anh ấy đang trong một tình huống nguy hiềm.
Don’t cry_over_spilled_milk.,	Đừng khóc vì chuyện đã qua.
I have_a_bun_in_the_oven.,Tôi đã có bầu.
"When I found out he crashed my car, I hit_the_roof.","Sau khi tôi biết được anh ấy đã đâm xe tôi, tôi đã vô cùng tức giận"
The news was music_to_my_ears.,Bản tin đó như là nhạc cho tai tôi vậy.
 it's time to hit_the_books ,Đã đến lúc học rồi.
He got_a_taste_of_his_own_medicine when others ignored him.,Anh ấy bị người khác phớt lờ như cách anh từng làm.
Let's call_it_a_day.,Hãy dừng lại và nghỉ đi.
"If you wait for him to finish his part of the project, you’ll be waiting_till_the_cows come home ","Nếu bạn đợi anh ấy hoàn thành công việc của anh ấy trong dự ăn, bạn sẽ phải đợi anh ấy rất lâu đó."
Who's the new_man_in_your_life?,Ai là người tình mới của bạn vậy?
They are on_cloud_nine.,Họ đang vô cùng hạnh phúc.
His drawing is truly one_of_a_kind,Bức vẽ của anh ấy thực sự là độc nhất vô nhị.
I think he's off_his_trolley.,Tôi nghĩ anh ta bị điên rồi.
Gratitude_is_a_sign_of_noble_souls,Ăn quả nhớ kẻ chồng cây.
"Take_your_time, be slow_but_sure.","Hãy dành thời gian của bạn, chậm nhưng chắc."
I’m feeling_under_the_weather today.,	Hôm nay tôi thấy không khỏe.
He finally threw_in_the_towel after years of trying.,"Sau nhiều năm cố gắng, anh ấy cuối cùng cũng bỏ cuộc."
splitting_headache,Đau đầu như búa bổ
Big Brother seems to grow more and more powerful as data about individuals is accumulated on social networks.,Chính phủ dường như ngày càng trở nên mạnh mẽ khi dữ liệu về cá nhân được tích lũy trên mạng xã hội.
I have_a_bun_in_the_oven.,Tôi đã có bầu.
I'm exhausted; I'm going to hit_the_sack.,Tôi mệt quá; tôi đi ngủ đây.
"When Mina was in her teens she looked ordinary, but in her early 20s she turned_into_a_real_knockout! ","Khi Mina còn ở tuổi thiếu niên, cô ta nhìn rất bình thường nhưng ở độ tuổi 20 cô ấy biến thành một người phụ nữ rất xinh đẹp"
The new scooter surely will knock_your_socks_off!,Cái xe máy mới sẽ chắc chắn làm bạn kinh ngạc.
I’ll be pushing_up_daisies before my daughter decides to get married.,Tôi sẽ chết trước khi con gái tôi quyết định kết hôn.
"There are just a few problems to_iron_out, then we'll be ready","Chỉ cần giải quyết một số vấn đề, rồi chúng ta sẽ sẵn sàng."
Stop beating_around_the_bush and answer my question.,"Đừng vòng vo nữa, hãy trả lời câu hỏi của tôi"
The plan went_down_in_flames.,Kế hoạch thành ra thảm bại.
They are on_cloud_nine.,Họ đang vô cùng hạnh phúc.
Jim is a_straight_arrow,Jim là một người đáng tin cậy
They finally saw_eye_to_eye on the issue.,Họ cuối cùng cũng đồng thuận về vấn đề đó.
Hang_in_there! Everything will be okay.,Cố lên! Rồi mọi chuyện sẽ ổn thôi.
Nine times out of ten your first choice turns out to be the right one.,Chín trên mười lần lựa chọn đầu tiên của bạn sẽ là lựa chọn đúng.
He is the Jack_of_all_trades and master_of_none.,Nghề nào anh cũng biết nhưng chẳng tinh nghề nào.
Keep_your_chin_up; things will get better.,Hãy giữ vững tinh thần; mọi chuyện sẽ khá hơn.
I think he’ll blow_his_top when you give him the news.,Tôi nghĩ anh ấy sẽ nổi điên khi bạn bao tin đó cho anh ấy.
There is no smoke without fire.,Không có lửa sao có khói.
I drove_home_hell_for_leather,Tôi đã lái xe rất nhanh về nhà
Long_story_short: she sold it.,Nói tóm lại: cô ấy đã bán nó.
He got_home_all_in_one_piece despite the storm,Anh ấy đã về nhà trọn vẹn mặc dù có cơn bão.
She threw_caution_to_the_wind and invested all her savings.,Cô ấy liều lĩnh đầu tư toàn bộ tiền tiết kiệm
We had to identify the_elephant_in_the_room before we made a decision.,Chúng ta phải xác định vấn đề quan trọng trước khi đưa ra quyết định.
He told us to recount the story in_a_nutshell,Anh ấy bảo chúng tôi kể lại câu chuyện một cách ngắn gọn.
I was sick_as_a_parrot after seeing them lost the game,Tôi đã rất thất vọng sau khi thấy họ thua trận.
Speak_of_the_devil—here he comes!,"Vừa nhắc đến anh ta—anh ta đến kìa!"""
Getting her to go out with me will be like taking_candy_from_a_baby.,Khiến cô ta đi chơi với tôi sẽ là một chuyện rất dễ dàng.
"After struggling with my work, I finally threw_in_the_towel","Sau khi vật lộn với công việc, tôi cuối cùng cũng bỏ cuộc."
Big Brother seems to grow more and more powerful as data about individuals is accumulated on social networks.,Chính phủ dường như ngày càng trở nên mạnh mẽ khi dữ liệu về cá nhân được tích lũy trên mạng xã hội.
My brother has a big exam next week so he is already burn_the_midnight_oil,Anh trai tôi có kỳ thi lớn vào tuần tới nên anh ấy đã thức khuya học bài rồi.
You look full_of_the_joys_of_spring this morning.,Bạn trông rất vui vẻ và phấn khởi sáng nay.
He is really a_bad_apple.,Anh ta thực sự là một người tồi.
I ẹnjoy going here once_in_a_while,Tôi thích đến đây thỉnh thoảng.
Take his advice with_a_grain_of_salt.,Hãy cân nhắc lời khuyên của anh ta một cách thận trọng.
If i come to the party I'll just_be_a_fifth_wheel.,Nêú tôi đến buổi tiệc của bạn tôi sẽ trông rất thừa thãi
He always gives_me_a_hand with repairing broken things,Anh ấy luôn giúp đỡ tôi sửa chữa đồ bị hỏng.
He was paid under_the_table.,Anh ấy được trả tiền không chính thức
Don’t bother him when_he’s_in_his_cups.,Đừng làm phiền anh ấy khi anh ấy đang say rượu.
We can get the documents you need_chop_chop.,Chúng tôi có thể lấy tài liệu của bạn một cách nhanh chóng
Please come in and make_yourself_at_home.,Hãy vào và tự nhiên như ở nhà.
 I have to hit_the_books this weekend — I have two exams next week,"Tôi phải học cuối tuần này, tuần sau tôi có 2 bài kiểm tra."
"Although he just came, he already knew which_way_the_wind_blows.","Mặc dù anh ta vừa tới, nhưng anh ta đã có thể biết rằng chuyện gì đang sảy ra."
I think we have solved this problem once_and_for_all.,Tôi nghĩ chúng ta đã giải quyết được vấn đề này một lần và mãi mãi.
"Do whatever you want, I do not give_a_fug.","Bạn làm gì cũng được, tôi không quan tâm."
He got_home_all_in_one_piece despite the storm,Anh ấy đã về nhà trọn vẹn mặc dù có cơn bão.
We can get the documents you need_chop_chop.,Chúng tôi có thể lấy tài liệu của bạn một cách nhanh chóng
Hang_in_there! Everything will be okay.,Cố lên! Rồi mọi chuyện sẽ ổn thôi.
I'll play_devil's_advocate to challenge your ideas.,Tôi sẽ đóng vai phản biện để thử thách ý tưởng của bạn.
You look full_of_the_joys_of_spring this morning.,Bạn trông rất vui vẻ và phấn khởi sáng nay.
They are on_cloud_nine.,Họ đang vô cùng hạnh phúc.
"I'm sory to hear that you failed the exam, better_luck_next_time.","Tôi rất tiếc khi nghe rằng bạn đã trượt, thôi thì thua keo này ta bày keo khác."
I decided to bite_the_bullet and take the exam,	Tôi quyết định cắn răng chịu đựng và đi thi.
Never_in_a_million_years did I think that I'd actually win the lottery!,Tôi không thể nào ngờ rằng tôi đã trúng sổ số!
He’s got_cold_feet about the wedding.,	Anh ấy cảm thấy lo lắng trước đám cưới.
She let_the_cat_out_of_the_box and fnally told her parents aboụt her plans of getting married.,Cô ấy đã để lộ bí mật và cuối cùng nói với bố mẹ về kế hoạch kết hôn của mình.
"If_you_scratch_my_back, i'll_scratch_yours.",Có qua lại mới toại lòng nhau.
You will require a_snowball’s_chance_in_hell to pass this exam.,Bạn sẽ cần một cơ hội ngàn vàng để vượt qua kỳ thi này.
The plan went_down_in_flames.,Kế hoạch thành ra thảm bại.
I can’t help you with your presentation right now. I have bigger_fish_to_fry.,Tôi không thể giúp bạn được. Tôi có việc quan trọng hơn phải làm.
Better_make_hay_while_sun_shines!,Việc hôm nay chớ để ngày mai!
We better_hit_the_road.,Chúng ta nên đi thôi.
We're like chalks_and_cheese,Chúng tôi khác biệt hoàn toàn
The plan is up_in_the_air right now.,Kế hoạch hiện vẫn chưa chắc chắn.
"If you think I'm going to eat it, you're_all_wet!","Nếu bạn nghĩ rằng tôi sẽ ăn nó, bạn sai rồi!"
It's time to break_the_ice and introduce yourself.,Đã đến lúc phá vỡ khoảng cách và giới thiệu bản thân.
You're going to follow him? Are you out_of_your_guard?,Bạn sẽ đi theo anh ấy sao? Bạn bị điên à?
Don’t bother him when_he’s_in_his_cups.,Đừng làm phiền anh ấy khi anh ấy đang say rượu.
She threw_caution_to_the_wind and invested all her savings.,Cô ấy liều lĩnh đầu tư toàn bộ tiền tiết kiệm
"I’m really_in_a_pickle. I spent all the money I had saved, and I have no way to pay next semester’s tuition bill.",Tôi thực sự đang gặp rắc rối. Tôi đã tiêu hết tiền tiết kiệm của mình và tôi không có cách nào để trả tiền cho học kỳ tới.
"Although he just came, he already knew which_way_the_wind_blows.","Mặc dù anh ta vừa tới, nhưng anh ta đã có thể biết rằng chuyện gì đang sảy ra."
Don’t cry_over_spilled_milk.,	Đừng khóc vì chuyện đã qua.
He has been under_the_weather all week.,Anh ấy trông không khỏe cả tuần nay.
He smokes_like_a_chimney.,Anh ấy hút thuốc rất nhiều.
He finally apologized—better_late_than_never.,Cuối cùng anh ấy cũng xin lỗi—muộn còn hơn không.
"She is a small lady,but she is one tough cookie.",Cô ấy dù nhỏ nhưng rất kiên cường.
That’s just a_fish_story. Don't try to fool me.,Đó chỉ là một câu chuyện bịa đặt. Đừng có cố mà lừa tôi.
The market is open_around_the_clock.,Cửa hàng luôn mở cửa cả ngày.
My mother is back_on_her_feet after being sick for a week.,Mẹ tôi đã hồi phục trọn vẹn sau khi bị ốm trong một tuần.
She was caught_red-handed stealing the book.,Cô ấy bị bắt quả tang đang ăn cắp sách.
I will be_on_your_side through thick_and_thin.,Tôi sẽ luôn ở bên bạn dù nó có khó khăn đến đâu
I’ve locked the door. They’re as_safe_as_houses,Tôi đã khóa cửa rồi. Chúng sẽ rất an toàn.
Nine times out of ten your first choice turns out to be the right one.,Chín trên mười lần lựa chọn đầu tiên của bạn sẽ là lựa chọn đúng.
I wouldn't want a nine-to-five job.,Tôi không muốn một công việc thường ngày.
I have_a_bun_in_the_oven.,Tôi đã có bầu.
"Do whatever you want, I do not give_a_fug.","Bạn làm gì cũng được, tôi không quan tâm."
Don't give up!—practice_makes_perfect.,Đừng bỏ cuộc!—có công mài sắt có ngày lên kim.
it's a_piece_of_cake,Nó dễ như ăn bánh
You're playing_with_fire if you keep driving with that speed!,Bạn đang chơi với lửa khi bạn còn lái xe với tốc độ đó!
He told us to recount the story in_a_nutshell,Anh ấy bảo chúng tôi kể lại câu chuyện một cách ngắn gọn.
it's a_piece_of_cake,Nó dễ như ăn bánh
He finally threw_in_the_towel after years of trying.,"Sau nhiều năm cố gắng, anh ấy cuối cùng cũng bỏ cuộc."
"Better leave her alone, don't_fuel_the_fire!","Để cô ấy yên, đừng có châm dầu vào lửa!"
Be careful not to bite_off_more_you_can_chew.,Hãy cẩn thận đừng cố quá.
He’s out_of_the_house_of_correction.,Anh ta đã ra tù.
Hang_in_there! Everything will be okay.,Cố lên! Rồi mọi chuyện sẽ ổn thôi.
"Do whatever you want, I do not give_a_fug.","Bạn làm gì cũng được, tôi không quan tâm."
"My grandmother is 92 years old, but she’s still sharp_as_a_tack.",Bà tôi đã 92 tuổi rồi nhưng bà ấy vẫn rất nhanh nhẹn.
The new law opened_a_can_of_worms.,Luật mới đã gây ra hàng loạt rắc rối.
He’s the black_sheep of the family.,	Anh ấy là kẻ lạc loài trong gia đình.
"""It's raining_cats_and_dogs outside.",Trời đang mưa như trút nước.
 He had not expected a_hot_potato,Anh ấy đã không ngờ phải đối mặt với một vấn đề nhạy cảm.
I drove_home_hell_for_leather,Tôi đã lái xe rất nhanh về nhà
She was caught_red-handed stealing the book.,Cô ấy bị bắt quả tang đang ăn cắp sách.
Don't beat about the bush - get to the point!,Đừng vòng vo nữa – hãy đi thẳng vào vấn đề!
Speak_of_the_devil—here he comes!,"Vừa nhắc đến anh ta—anh ta đến kìa!"""
I'll eat dinner on_the_fly,Tôi sẽ ăn tối trên đường.
Let the_cat_out_of_the_bag.,Tiết lộ bí mật.
It was the_last_straw that made her quit.,Đó là giọt nước tràn ly khiến cô ấy bỏ việc.
His diet went_out_the_window during the holidays.,Buổi ăn kiêng của anh ta biến mất trong kỳ nghỉ.
She hit_the_nail_on_the_head with her comment.,Cô ấy đã nói trúng phóc với lời nhận xét của mình.
Please come in and make_yourself_at_home.,Hãy vào và tự nhiên như ở nhà.
"I'm sory to hear that you failed the exam, better_luck_next_time.","Tôi rất tiếc khi nghe rằng bạn đã trượt, thôi thì thua keo này ta bày keo khác."
I drove_home_hell_for_leather,Tôi đã lái xe rất nhanh về nhà
"Hold on, let me put_my_face_on.","Đợi chút, để tôi trang điểm cái đã."
"Better leave her alone, don't_fuel_the_fire!","Để cô ấy yên, đừng có châm dầu vào lửa!"
His drawing is truly one_of_a_kind,Bức vẽ của anh ấy thực sự là độc nhất vô nhị.
Don’t bother him when_he’s_in_his_cups.,Đừng làm phiền anh ấy khi anh ấy đang say rượu.
He's going_around_the_bend.,Anh ấy đang mất trí.
I'd buy that car in a_hot_minute if i had the money.,Tôi sẽ mua cái xe đó ngay bây giờ nếu tôi có đủ tiền.
Let's call_it_a_day.,Hãy dừng lại và nghỉ đi.
Hit_the_nail_in_the_head,Nói đúng trọng tâm.
Never_in_a_million_years did I think that I'd actually win the lottery!,Tôi không thể nào ngờ rằng tôi đã trúng sổ số!
It was her chance to speak and she was getting_cold_feet.,Đó là cơ hội để cô ấy lên tiếng nhưng cô ấy lại cảm thấy lo lắng.
Your_days_are_numbered if you keep doing that.,Bạn sẽ chết sớm nếu bạn tiếp tục làm vậy.
He had_egg_on_his_face after claiming he could climb the tree but then having to give up.,Anh ấy đã rất xấu hổ sau khi tuyên bố mình có thể trèo cây nhưng sau đó lại phải bỏ cuộc.
I’m feeling_under_the_weather today.,	Hôm nay tôi thấy không khỏe.
I drove_home_hell_for_leather,Tôi đã lái xe rất nhanh về nhà
These kinds of mistakes are a_dime_a_dozen,Những lỗi như thế này rất phổ biến
She was caught_red-handed stealing the book.,Cô ấy bị bắt quả tang đang ăn cắp sách.
He smokes_like_a_chimney.,Anh ấy hút thuốc rất nhiều.
The news was music_to_my_ears.,Bản tin đó như là nhạc cho tai tôi vậy.
I made it by_the_skin_of_my_teeth.,Tôi gần như không làm được.
The new Honda is expected to sell_like_hotcakes after it’s released.,Mẫu xe Honda mới dự kiến sẽ bán chạy như tôm tươi sau khi ra mắt.
I made it by_the_skin_of_my_teeth.,Tôi gần như không làm được.
He was at_death's_door after his heart attack.,Anh ấy đã cận kề cái chết sau cơn đau tim
Hurry up!—Time is money!,Nhanh lên!—Thời gian là tiền bạc!
He bent_over_backwards to help her.,	Anh ấy đã cố gắng hết sức để giúp cô ấy.
It's raining_cats_and_dogs,Trời mưa rất to
I drove_home_hell_for_leather,Tôi đã lái xe rất nhanh về nhà
Hit_the_nail_in_the_head,Nói đúng trọng tâm.
I ẹnjoy going here once_in_a_while,Tôi thích đến đây thỉnh thoảng.
Sophia made me trusted her. But then she stabbed_me_in_the_back ,Sophia đã làm tôi tin tưởng cô ấy. Rồi cô ta phản bội tôi.
He’s the_big_fish in the company. ,Anh ta là một người quan trọng trong công ty.
I take_something_for_granted that I woụld find the perfect job.,Tôi đã cho rằng mình sẽ tìm được công việc hoàn hảo mà không cần cố gắng.
I suddenly lose touch with Mina,Tôi đột nhiên mất liên lạc với Mina.
Keep_your_chin_up; things will get better.,Hãy giữ vững tinh thần; mọi chuyện sẽ khá hơn.
He was completely in_the_dark about what happened,Anh ấy không biết gì về chuyện vừa xảy ra.
Never_in_a_million_years did I think that I'd actually win the lottery!,Tôi không thể nào ngờ rằng tôi đã trúng sổ số!
He didn't_bat_an_eye when he realised he failed the exam.,Anh ấy không bất ngờ khi anh ấy nhận ra anh đã trượt kì thi.
"When I found out he crashed my car, I hit_the_roof.","Sau khi tôi biết được anh ấy đã đâm xe tôi, tôi đã vô cùng tức giận"
It's raining_cats_and_dogs,Trời mưa rất to
Her presentation was_on_point,Bài thuyết trình của cô ấy rất hoàn hảo.
"Sure, I’ll go out with Cynthia again. When_pigs_fly ",Tôi sẽ đi chơi với Cynthia khi nào lợn mọc cánh mà bay.
You're going to follow him? Are you out_of_your_guard?,Bạn sẽ đi theo anh ấy sao? Bạn bị điên à?
You can't judge_a_book_by_its_cover—it may be better than you think!,Đừng đánh giá nó qua vẻ bề ngoài—nó có thể tốt hơn bạn nghĩ đó!
Don’t get all_bent_out_of_shape out it.,Đừng có tức vì đièu đó.
It was a_blessing_in_disguise.,Đó là vận may trong cái rủi.
Don't cry_over_spilled_milk.,Đừng than vãn chuyện đã rồi. 
Don't bring up old arguments; let_sleeping_dogs_lie.,Đừng khơi lại chuyện cũ; hãy để quá khứ yên.
She's really on_the_ball with her new project.,Cô ấy rất nhanh nhạy với dự án mới.
"You have to work hard—no pain, no gain",Bạn phải làm việc chăm chỉ—không đau thì không thành công.
His diet went_out_the_window during the holidays.,Buổi ăn kiêng của anh ta biến mất trong kỳ nghỉ.
Let’s come back soon before_the_heavens_open!,Hãy quay trở lại trước khi trời mưa!
He smokes_like_a_chimney.,Anh ấy hút thuốc rất nhiều.
My mother is back_on_her_feet after being sick for a week.,Mẹ tôi đã hồi phục trọn vẹn sau khi bị ốm trong một tuần.
He's going_around_the_bend.,Anh ấy đang mất trí.
I'm exhausted; I'm going to hit_the_sack.,Tôi mệt quá; tôi đi ngủ đây.
He's going_around_the_bend.,Anh ấy đang mất trí.
James is a_bad_egg. Don’t trust him.,James là một kẻ xấu. Đừng tin anh ấy.
I’m all_ears — tell me what happened!,Tôi đang chăm chú nghe đây — kể tôi nghe đi!
"When Mina was in her teens she looked ordinary, but in her early 20s she turned_into_a_real_knockout! ","Khi Mina còn ở tuổi thiếu niên, cô ta nhìn rất bình thường nhưng ở độ tuổi 20 cô ấy biến thành một người phụ nữ rất xinh đẹp"
Take his advice with_a_grain_of_salt.,Hãy cân nhắc lời khuyên của anh ta một cách thận trọng.
It’ll be_a_cold_day_in_July when our team wins the championship.,Nhóm chúng tôi sẽ không bao giờ giành được chức vô địch.
Her presentation was_on_point,Bài thuyết trình của cô ấy rất hoàn hảo.
I’m feeling_under_the_weather today.,	Hôm nay tôi thấy không khỏe.
Hang_in_there! Everything will be okay.,Cố lên! Rồi mọi chuyện sẽ ổn thôi.
"""It's raining_cats_and_dogs outside.",Trời đang mưa như trút nước.
She stole_my_thunder by announcing the news first,Cô ấy cướp mất sự chú ý của tôi bằng cách thông báo tin trước.
 He had not expected a_hot_potato,Anh ấy đã không ngờ phải đối mặt với một vấn đề nhạy cảm.
Hit_the_nail_in_the_head,Nói đúng trọng tâm.
Dad will hit_the_roof when he finds out I dented the car.,Bố sẽ nổi giận lắm khi phát hiện ra tôi làm móp xe.
"Make_up_your_mind, you can't have it both ways","Hãy quyết định đi, bạn không thể chọn cả hai được."
You look full_of_the_joys_of_spring this morning.,Bạn trông rất vui vẻ và phấn khởi sáng nay.
I just have_a_lot_on_my_plate right now.,Tôi đang có rất nhiều việc phải làm.
I'll have the order done_quick_as_a_flash,Tôi sẽ hoàn thành đơn của bạn nhanh như tia chớp
He got_a_taste_of_his_own_medicine when others ignored him.,Anh ấy bị người khác phớt lờ như cách anh từng làm.
He’s out_of_the_house_of_correction.,Anh ta đã ra tù.
He kicked_the_bucket last night.,Ông ấy đã qua đời tối qua.
She's pulling_your_leg — there’s no test today!,Cô ấy chỉ đang đùa bạn thôi — hôm nay không có bài kiểm tra đâu!
Better_make_hay_while_sun_shines!,Việc hôm nay chớ để ngày mai!
She threw_caution_to_the_wind and invested all her savings.,Cô ấy liều lĩnh đầu tư toàn bộ tiền tiết kiệm
I was sick_as_a_parrot after seeing them lost the game,Tôi đã rất thất vọng sau khi thấy họ thua trận.
New Year's Eve is just_around_the_corner!,Giao thừa sắp đến rồi!
I think he's off_his_trolley.,Tôi nghĩ anh ta bị điên rồi.
He's really on_thin_ice.,Anh ấy đang trong một tình huống nguy hiềm.
We had a_whale_of_a_time on holiday.,Chúng tôi đã có một kỳ nghỉ tuyệt vời
Break_a_leg in your performance!,Chúc may mắn trong buổi diễn nhé!
She's really on_the_ball with her new project.,Cô ấy rất nhanh nhạy với dự án mới.
She's pulling_your_leg — there’s no test today!,Cô ấy chỉ đang đùa bạn thôi — hôm nay không có bài kiểm tra đâu!
He’s out_of_the_house_of_correction.,Anh ta đã ra tù.
I think he's off_his_trolley.,Tôi nghĩ anh ta bị điên rồi.
Don’t get all_bent_out_of_shape out it.,Đừng có tức vì đièu đó.
I missed_the_boat on investing in that company.,Tôi đã bỏ lỡ cơ hội đầu tư vào công ty đó.
He is really a_bad_apple.,Anh ta thực sự là một người tồi.
Your_days_are_numbered if you keep doing that.,Bạn sẽ chết sớm nếu bạn tiếp tục làm vậy.
She let_the_cat_out_of_the_box and fnally told her parents aboụt her plans of getting married.,Cô ấy đã để lộ bí mật và cuối cùng nói với bố mẹ về kế hoạch kết hôn của mình.
Let’s come back soon before_the_heavens_open!,Hãy quay trở lại trước khi trời mưa!
We killed_two_birds_with_one_stone by shopping and picking up the kids in one trip.,"Chúng tôi một công đôi việc, vừa đi mua sắm vừa đón con."
I have_a_bun_in_the_oven.,Tôi đã có bầu.
Passing this test will be like shooting_fish_in_a_barrel,Vược qua bài kiểm tra này sẽ rất dễ dàng.
